dataset,workload,index,mean_throughput_mops,index_size_mib
Books,10% Lookup / 90% Insert,DynamicPGM,3.3853333333333335,1621.29345703125
Books,10% Lookup / 90% Insert,LIPP,2.966223333333333,11209.119033813477
Books,10% Lookup / 90% Insert,HybridPGMLIPP,1.2571433333333333,11205.714950561523
Books,90% Lookup / 10% Insert,DynamicPGM,1.0470733333333333,1621.2939338684082
Books,90% Lookup / 10% Insert,LIPP,15.8346,11271.024475097656
Books,90% Lookup / 10% Insert,HybridPGMLIPP,1.1677566666666668,11270.906272888184
Facebook,10% Lookup / 90% Insert,DynamicPGM,3.19209,1631.193073272705
Facebook,10% Lookup / 90% Insert,LIPP,2.1698633333333333,12070.334365844727
Facebook,10% Lookup / 90% Insert,HybridPGMLIPP,3.331,11957.415370941162
Facebook,90% Lookup / 10% Insert,DynamicPGM,1.07496,1631.3130836486816
Facebook,90% Lookup / 10% Insert,LIPP,13.817926666666667,12112.566818237305
Facebook,90% Lookup / 10% Insert,HybridPGMLIPP,1.3199166666666666,12099.934295654297
OSMC,10% Lookup / 90% Insert,DynamicPGM,3.0580200000000004,1628.5694007873535
OSMC,10% Lookup / 90% Insert,LIPP,0.9142769999999999,19463.507736206055
OSMC,10% Lookup / 90% Insert,HybridPGMLIPP,1.16123,19448.73654937744
OSMC,90% Lookup / 10% Insert,DynamicPGM,1.1114533333333332,1628.5698204040527
OSMC,90% Lookup / 10% Insert,LIPP,10.132806666666665,19648.444396972656
OSMC,90% Lookup / 10% Insert,HybridPGMLIPP,0.9640430000000001,19635.380409240723
