dataset,workload,index,mean_throughput_mops,index_size_mib
Books,10% Lookup / 90% Insert,DynamicPGM,3.3853333333333335,1621.29345703125
Books,10% Lookup / 90% Insert,LIPP,3.0319766666666665,11209.119033813477
Books,10% Lookup / 90% Insert,HybridPGMLIPP,1.5239766666666668,11205.714950561523
Books,90% Lookup / 10% Insert,DynamicPGM,1.1524,1621.2939338684082
Books,90% Lookup / 10% Insert,LIPP,22.892933333333332,11271.024475097656
Books,90% Lookup / 10% Insert,HybridPGMLIPP,1.54925,11270.906272888184
Facebook,10% Lookup / 90% Insert,DynamicPGM,3.19209,1631.193073272705
Facebook,10% Lookup / 90% Insert,LIPP,2.3698633333333334,12070.334365844727
Facebook,10% Lookup / 90% Insert,HybridPGMLIPP,3.331,11957.415370941162
Facebook,90% Lookup / 10% Insert,DynamicPGM,1.07496,1631.3130836486816
Facebook,90% Lookup / 10% Insert,LIPP,17.99506666666667,12112.566818237305
Facebook,90% Lookup / 10% Insert,HybridPGMLIPP,1.4516600000000002,12112.356147766113
OSMC,10% Lookup / 90% Insert,DynamicPGM,3.0817266666666665,1628.5694007873535
OSMC,10% Lookup / 90% Insert,LIPP,1.9491466666666666,19463.507736206055
OSMC,10% Lookup / 90% Insert,HybridPGMLIPP,1.30967,19457.305572509766
OSMC,90% Lookup / 10% Insert,DynamicPGM,1.1653233333333333,1628.5698204040527
OSMC,90% Lookup / 10% Insert,LIPP,14.789499999999999,19648.444396972656
OSMC,90% Lookup / 10% Insert,HybridPGMLIPP,1.4377766666666665,19648.220909118652
